电影名称	评分	评价人数	
﻿肖申克的救赎	9.6	1054419人	
霸王别姬	9.5	768017人	
这个杀手不太冷	9.4	984289人	
阿甘正传	9.4	838031人	
美丽人生	9.5	489977人	
千与千寻	9.3	784933人	
泰坦尼克号	9.3	777006人	
辛德勒的名单	9.4	444816人	
盗梦空间	9.3	873526人	
机器人总动员	9.3	573292人	
三傻大闹宝莱坞	9.2	787177人	
海上钢琴师	9.2	671149人	
忠犬八公的故事	9.2	546502人	
放牛班的春天	9.2	527341人	
大话西游之大圣娶亲	9.2	577351人	
楚门的世界	9.1	551177人	
龙猫	9.1	487289人	
教父	9.2	394820人	
星际穿越	9.2	578419人	
熔炉	9.2	320315人	
触不可及	9.2	428430人	
乱世佳人	9.2	306076人	
无间道	9.1	471334人	
当幸福来敲门	8.9	623251人	
天堂电影院	9.1	344389人	
﻿怦然心动	8.9	655881人	
十二怒汉	9.4	195777人	
少年派的奇幻漂流	9.0	655157人	
蝙蝠侠：黑暗骑士	9.1	379767人	
鬼子来了	9.2	268030人	
搏击俱乐部	9.0	441562人	
活着	9.1	315974人	
指环王3：王者无敌	9.1	322087人	
疯狂动物城	9.1	606730人	
天空之城	9.0	379072人	
大话西游之月光宝盒	8.9	465105人	
罗马假日	8.9	435776人	
飞屋环游记	8.9	567729人	
控方证人	9.6	118728人	
窃听风暴	9.1	256213人	
两杆大烟枪	9.1	302192人	
飞越疯人院	9.0	307251人	
闻香识女人	8.9	368292人	
哈尔的移动城堡	8.9	405238人	
辩护人	9.1	245845人	
海豚湾	9.3	199830人	
V字仇杀队	8.8	476669人	
死亡诗社	9.0	317216人	
教父2	9.1	212998人	
美丽心灵	8.9	341472人	
